case,time_s,x_mm,rear_y_mm,front_y_mm,yaw_deg,raw_offset_mm,filtered_track_err_mm,rear_est_mm,w_cmd_deg_s,left_cmd_mm_s,right_cmd_mm_s,left_act_mm_s,right_act_mm_s,sensor_bitmap,sensor_valid,motor_saturated
contract_degraded_offset,7.19,1333.794222117856,-32.8485703140323,-34.19220838234261,-0.48116059618502094,32.45,-32.449999999999996,-31.106361931689687,7.0873614594709755,208.34960101040355,191.65039898959645,191.69256153245243,191.6385200734214,96.0,1.0,0.0
contract_degraded_offset,7.2,1335.7108100962791,-32.86466245829938,-34.207667225907905,-0.4809338040831401,32.45,-32.449999999999996,-31.10699523239147,7.087079893827946,208.34926929869516,191.65073070130484,191.69203896478902,191.6390880817512,96.0,1.0,0.0
contract_degraded_offset,7.21,1337.6273983624976,-32.88074708723997,-34.22313133668986,-0.48071158956099,32.45,-32.449999999999996,-31.107615750550103,7.086804011319803,208.34894428227236,191.65105571772764,191.69152677296626,191.6396448119933,96.0,1.0,0.0
contract_degraded_offset,7.22,1339.5439869107463,-32.896824352564806,-34.23860061252218,-0.48049386170190794,32.45,-32.449999999999996,-31.108223740042625,7.0865336990719605,208.34862582815788,191.65137417184212,191.6910247563699,191.64019048220672,96.0,1.0,0.0
contract_degraded_offset,7.23,1341.4605757353731,-32.912894402970764,-34.25407495313571,-0.48028053134794096,32.45,-32.449999999999996,-31.108819449835057,7.086268846393305,208.3483138059468,191.6516861940532,191.6905327180898,191.64072530642432,96.0,1.0,0.0
contract_degraded_offset,7.24,1343.3771648308377,-32.928957384199244,-34.269554260126085,-0.4800715110673449,32.45,-32.449999999999996,-31.109403124073154,7.086009344735851,208.34800808775904,191.65199191224096,191.69005046485702,191.64124949472077,96.0,1.0,0.0
contract_degraded_offset,7.25,1345.2937541917086,-32.94501343909339,-34.28503843692175,-0.4798667151226342,32.45,-32.449999999999996,-31.109975002171634,7.085755087655069,208.34770854819263,191.65229145180737,191.68957780698267,191.64176325327986,96.0,1.0,0.0
contract_degraded_offset,7.26,1347.2103438126608,-32.961062707654214,-34.300527388752336,-0.4796660594391739,32.45,-32.449999999999996,-31.110535318901874,7.085505970770888,208.34741506427767,191.65258493572233,191.68911455829647,191.6422667844605,96.0,1.0,0.0
contract_degraded_offset,7.2700000000000005,1349.1269336884752,-32.97710532709584,-34.31602102261772,-0.47946946157430775,32.45,-32.449999999999996,-31.111084304478123,7.085261891729378,208.34712751543128,191.65287248456872,191.68866053608707,191.64276028686197,96.0,1.0,0.0
contract_degraded_offset,7.28,1351.0435238140349,-32.99314143189954,-34.33151924725732,-0.47927684068701254,32.45,-32.449999999999996,-31.111622184642215,7.0850227501650656,208.34684578341316,191.65315421658684,191.6882155610427,191.6432439553884,96.0,1.0,0.0
contract_degraded_offset,7.29,1352.9601141843243,-33.00917115386686,-34.34702197311997,-0.4790881175080728,32.45,-32.449999999999996,-31.112149180746883,7.084788447663908,208.34656975228205,191.65343024771795,191.68777945719302,191.64371798131202,96.0,1.0,0.0
contract_degraded_offset,7.3,1354.8767047944264,-33.02519462217176,-34.36252911233417,-0.4789032143107681,32.45,-32.449999999999996,-31.112665509837587,7.0845588877269,208.34629930835266,191.65370069164734,191.68735205185126,191.64418255233565,96.0,1.0,0.0
